material_id,formula,literature_class,title,year,journal,doi,citation_count,url
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Synthesis and Electrochemical Characteristics of Li3V2(PO4)3/C as a Novel Li-ion Battery Cathode Material,2018,International Journal of Electrochemical Science,10.20964/2018.03.37,6,https://doi.org/10.20964/2018.03.37
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Enhanced Capacity Retention of Li3V2(PO4)3-Cathode-Based Lithium Metal Battery Using SiO2-Scaffold-Confined Ionic Liquid as Hybrid Solid-State Electrolyte,2023,Molecules,10.3390/molecules28134896,3,https://doi.org/10.3390/molecules28134896
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Facile synthesis of Li3V2(PO4)3/C cathode material for lithium-ion battery via freeze-drying,2019,Journal of Energy Chemistry,10.1016/j.jechem.2018.07.011,20,https://doi.org/10.1016/j.jechem.2018.07.011
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Synthesis and electrochemical properties of a composite LiMn0.63Fe0.37PO4 with Li3V2(PO4)3 for lithium-ion battery cathode materials,2016,Ceramics International,10.1016/j.ceramint.2016.07.046,4,https://doi.org/10.1016/j.ceramint.2016.07.046
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Effect of MgO nanolayer coated on Li3V2(PO4)3/C cathode material for lithium-ion battery,2010,Journal of Alloys and Compounds,10.1016/j.jallcom.2010.04.181,73,https://doi.org/10.1016/j.jallcom.2010.04.181
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Influence of nano-fibrous and nano-particulate morphology on the rate capability of Li3V2(PO4)3/C Li-ion battery cathode,2023,Materials Research Bulletin,10.1016/j.materresbull.2023.112331,12,https://doi.org/10.1016/j.materresbull.2023.112331
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Electrochemical Performance and Resistance Analysis of Li3V2(PO4)3/C Composite Cathode for Li Ion Battery,2014,Metallurgical and Materials Transactions E,10.1007/s40553-014-0030-9,0,https://doi.org/10.1007/s40553-014-0030-9
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Novel Spherical Li3V2(PO4)3/C Cathode Material for Application in High–Power Lithium Ion Battery,2012,International Journal of Electrochemical Science,10.1016/s1452-3981(23)13350-5,16,https://doi.org/10.1016/s1452-3981(23)13350-5
mp-6396,Li3V2(PO4)3,BATTERY_RELATED,Electrochemical and thermal characterization of Li4Ti5O12||Li3V2(PO4)3 lithium ion battery,2019,Solid State Ionics,10.1016/j.ssi.2018.12.018,12,https://doi.org/10.1016/j.ssi.2018.12.018
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Synthesis and Electrochemical Performance of Na-doped Li3V2(PO4)3/C Cathode Material for Lithium-ion Batteries,2025,"Journal of Chemical, Biological and physical sciences",10.24214/jcbps.c.16.1.02536,0,https://doi.org/10.24214/jcbps.c.16.1.02536
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Electrochemical behavior of Li3V2(PO4)3/C composite cathode material for lithium-ion batteries,2008,Materials Letters,10.1016/j.matlet.2007.09.064,42,https://doi.org/10.1016/j.matlet.2007.09.064
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Preparation and Electrochemical Properties of Li3V2(PO4)3−xBrx/Carbon Composites as Cathode Materials for Lithium-Ion Batteries,2017,Nanomaterials,10.3390/nano7030052,15,https://doi.org/10.3390/nano7030052
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Sol–gel synthesis and electrochemical properties of 9LiFePO4·Li3V2(PO4)3/C composite cathode material for lithium ion batteries,2012,Electrochimica Acta,10.1016/j.electacta.2012.03.181,80,https://doi.org/10.1016/j.electacta.2012.03.181
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Electrochemical behavior of Mg-doped 7LiFePO4–Li3V2(PO4)3 composite cathode material for lithium-ion batteries,2013,Ionics,10.1007/s11581-012-0841-6,5,https://doi.org/10.1007/s11581-012-0841-6
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Synthesis and electrochemical performance of LiVOPO4–Li3V2(PO4)3 cathode materials for lithium ion batteries,2021,Ceramics International,10.1016/j.ceramint.2021.08.040,6,https://doi.org/10.1016/j.ceramint.2021.08.040
mp-6396,Li3V2(PO4)3,BATTERY_RELATED,Development and electrochemical performances of Li3V2(PO4)3 and Li4Ti5O12 materials for lithium-ion battery,2017,Ionics,10.1007/s11581-017-1984-2,6,https://doi.org/10.1007/s11581-017-1984-2
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Study on structure and electrochemical performance of Tm3+-doped monoclinic Li3V2(PO4)3/C cathode material for lithium-ion batteries,2014,Electrochimica Acta,10.1016/j.electacta.2014.10.133,15,https://doi.org/10.1016/j.electacta.2014.10.133
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Synthesis and electrochemical properties of W-doped Li3V2(PO4)3/C cathode materials for lithium ion batteries,2014,Ceramics International,10.1016/j.ceramint.2014.06.078,20,https://doi.org/10.1016/j.ceramint.2014.06.078
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Synthesis and electrochemical properties of ordered macroporous Li3V2(PO4)3 cathode materials for lithium ion batteries,2013,Electrochimica Acta,10.1016/j.electacta.2013.08.086,20,https://doi.org/10.1016/j.electacta.2013.08.086
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Rheological phase reaction synthesis and electrochemical performance of Li3V2(PO4)3/carbon cathode for lithium ion batteries,2008,Electrochimica Acta,10.1016/j.electacta.2007.09.038,79,https://doi.org/10.1016/j.electacta.2007.09.038
mp-6396,Li3V2(PO4)3,BATTERY_RELATED,Sheet-like Li3V2(PO4)3 nanocomposite coated by SiO2 + C with better electrochemical properties for lithium-ion batteries,2016,Journal of Nanoparticle Research,10.1007/s11051-015-3317-6,3,https://doi.org/10.1007/s11051-015-3317-6
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Influence of Adipic Acid on Electrochemical Properties of Li3V2 (PO4)3 as Cathode Material for Rechargeable Lithium-Ion Batteries,2018,International Journal for Research in Applied Science and Engineering Technology,10.22214/ijraset.2018.3391,0,https://doi.org/10.22214/ijraset.2018.3391
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Synthesis and electrochemical properties of Co-doped Li3V2(PO4)3 cathode materials for lithium-ion batteries,2010,Electrochimica Acta,10.1016/j.electacta.2009.10.028,175,https://doi.org/10.1016/j.electacta.2009.10.028
mp-6396,Li3V2(PO4)3,DIRECT_CATHODE,Synthesis and electrochemical properties of Ge-doped Li3V2(PO4)3/C cathode materials for lithium-ion batteries,2017,Journal of Alloys and Compounds,10.1016/j.jallcom.2017.01.267,20,https://doi.org/10.1016/j.jallcom.2017.01.267
mp-6396,Li3V2(PO4)3,BATTERY_RELATED,Synthesis and electrochemical properties of Li3V2 (PO4)3-V2O3/C as anode material for lithium-ion battery application,2019,Ionics,10.1007/s11581-019-03255-3,3,https://doi.org/10.1007/s11581-019-03255-3
mp-6396,Li3V2(PO4)3,BATTERY_RELATED,Li3V2(PO4)3/(SiO2+C) composite with better stability and electrochemical properties for lithium-ion batteries,2015,Solid State Ionics,10.1016/j.ssi.2015.01.011,14,https://doi.org/10.1016/j.ssi.2015.01.011
mp-780606,Li3Cr2(PO4)3,CHEMISTRY_ONLY,Ionic Conductivity of β-Fe2(SO4)3 Type Li3Cr2(PO4)3 Based Electrolyte,1993,Chemistry Letters,10.1246/cl.1993.2033,4,https://doi.org/10.1246/cl.1993.2033
mp-780606,Li3Cr2(PO4)3,DIRECT_CATHODE,Electrochemical oxidation of trivalent chromium in a phosphate matrix: Li3Cr2(PO4)3 as cathode material for lithium ion batteries,2014,Electrochimica Acta,10.1016/j.electacta.2014.06.170,33,https://doi.org/10.1016/j.electacta.2014.06.170
mp-26227,LiVP2O7,BATTERY_RELATED,LiVP2O7/C: A New Insertion Anode Material for High-Rate Lithium-Ion Battery Applications,2020,,10.1021/acs.inorgchem.5b02795.s001,0,https://doi.org/10.1021/acs.inorgchem.5b02795.s001
mp-26227,LiVP2O7,CHEMISTRY_ONLY,The crystal structure of LiVP2O7,1990,Journal of Solid State Chemistry,10.1016/0022-4596(90)90128-k,36,https://doi.org/10.1016/0022-4596(90)90128-k
mp-26227,LiVP2O7,DIRECT_CATHODE,Synthesis and electrochemical properties of LiVP2O7/C as novel cathode material for lithium ion batteries,2017,Ceramics International,10.1016/j.ceramint.2017.09.131,8,https://doi.org/10.1016/j.ceramint.2017.09.131
mp-26227,LiVP2O7,BATTERY_RELATED,Investigation of phase structure change and electrochemical performance in LiVP2O7-Li3V2(PO4)3-LiVPO4F system,2016,Electrochimica Acta,10.1016/j.electacta.2016.03.070,37,https://doi.org/10.1016/j.electacta.2016.03.070
mp-26227,LiVP2O7,DIRECT_CATHODE,Two-step Synthesis of LiVP2O7/C for Use as Cathode Material in Lithium-Ion Batteries,2018,International Journal of Electrochemical Science,10.20964/2018.05.45,2,https://doi.org/10.20964/2018.05.45
mp-26227,LiVP2O7,DIRECT_CATHODE,β-LiVP2O7 as a positive electrode material for Li-ion batteries,2021,Electrochimica Acta,10.1016/j.electacta.2021.138759,8,https://doi.org/10.1016/j.electacta.2021.138759
mp-26227,LiVP2O7,CHEMISTRY_ONLY,"Crystal structure of a new vanadium(IV) diphosphate: VP2O7, prepared by lithium extraction from LiVP2O7",2001,International Journal of Inorganic Materials,10.1016/s1466-6049(01)00092-7,32,https://doi.org/10.1016/s1466-6049(01)00092-7
